,Game ID,Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
0,NYA202104010,t1,0-0,0,---,,O,TOR,Marcus Semien,Gerrit Cole,-2%,48%,Groundout: SS-1B (SS-3B Hole)
1,NYA202104010,t1,0-0,1,---,,O,TOR,Cavan Biggio,Gerrit Cole,-2%,46%,Strikeout Swinging
2,NYA202104010,t1,0-0,2,---,,O,TOR,Bo Bichette,Gerrit Cole,-1%,45%,Groundout: 2B-1B (Deep 2B)
3,NYA202104010,b1,0-0,0,---,,O,NYY,DJ LeMahieu,Hyun Jin Ryu,2%,47%,Groundout: 1B unassisted (2B-1B)
4,NYA202104010,b1,0-0,1,---,,O,NYY,Aaron Judge,Hyun Jin Ryu,2%,49%,Strikeout Swinging
5,NYA202104010,b1,0-0,2,---,,O,NYY,Aaron Hicks,Hyun Jin Ryu,1%,50%,Strikeout Swinging
6,NYA202104010,t2,0-0,0,---,,,TOR,Teoscar Hernandez,Gerrit Cole,4%,54%,Single to SS (Ground Ball to SS-3B Hole)
7,NYA202104010,t2,0-0,0,1--,,,TOR,Vladimir Guerrero Jr.,Gerrit Cole,6%,59%,Single to CF (Line Drive); Hernandez to 2B
8,NYA202104010,t2,0-0,0,12-,,R,TOR,Lourdes Gurriel Jr.,Gerrit Cole,9%,69%,Single to CF (Ground Ball thru SS-2B); Hernandez Scores; Guerrero to 2B
9,NYA202104010,t2,1-0,0,12-,,O,TOR,Rowdy Tellez,Gerrit Cole,-5%,64%,Popfly: 1B (Short 1B Line)
10,NYA202104010,t2,1-0,1,12-,,O,TOR,Randal Grichuk,Gerrit Cole,-4%,60%,Strikeout Swinging
11,NYA202104010,t2,1-0,2,12-,,O,TOR,Danny Jansen,Gerrit Cole,-4%,56%,Strikeout Looking
12,NYA202104010,b2,0-1,0,---,,O,NYY,Giancarlo Stanton,Hyun Jin Ryu,3%,58%,Popfly: 2B (Deep SS-2B)
13,NYA202104010,b2,0-1,1,---,,,NYY,Gleyber Torres,Hyun Jin Ryu,-3%,55%,Single to LF (Fly Ball to Short LF)
14,NYA202104010,b2,0-1,1,1--,,O,NYY,Gio Urshela,Hyun Jin Ryu,3%,59%,Strikeout Swinging
15,NYA202104010,b2,0-1,2,1--,,RR,NYY,Gary Sanchez,Hyun Jin Ryu,-21%,38%,Home Run (Fly Ball to Deep LF); Torres Scores
16,NYA202104010,b2,2-1,2,---,,O,NYY,Jay Bruce,Hyun Jin Ryu,1%,39%,Popfly: SS (Short CF)
17,NYA202104010,t3,1-2,0,---,,O,TOR,Marcus Semien,Gerrit Cole,-3%,36%,Popfly: SS (Deep SS-3B Hole)
18,NYA202104010,t3,1-2,1,---,,O,TOR,Cavan Biggio,Gerrit Cole,-2%,34%,Strikeout Looking
19,NYA202104010,t3,1-2,2,---,,O,TOR,Bo Bichette,Gerrit Cole,-1%,33%,Strikeout Looking
20,NYA202104010,b3,2-1,0,---,,O,NYY,Clint Frazier,Hyun Jin Ryu,2%,35%,Groundout: SS-1B (Weak SS)
21,NYA202104010,b3,2-1,1,---,,O,NYY,DJ LeMahieu,Hyun Jin Ryu,2%,37%,Groundout: 3B-1B (SS-3B Hole)
22,NYA202104010,b3,2-1,2,---,,O,NYY,Aaron Judge,Hyun Jin Ryu,1%,38%,Groundout: SS-1B
23,NYA202104010,t4,1-2,0,---,,O,TOR,Teoscar Hernandez,Gerrit Cole,-3%,35%,Strikeout Looking
24,NYA202104010,t4,1-2,1,---,,,TOR,Vladimir Guerrero Jr.,Gerrit Cole,3%,38%,Walk
25,NYA202104010,t4,1-2,1,1--,,O,TOR,Lourdes Gurriel Jr.,Gerrit Cole,-4%,34%,Strikeout Swinging
26,NYA202104010,t4,1-2,2,1--,,O,TOR,Rowdy Tellez,Gerrit Cole,-3%,31%,Flyball: RF (CF-RF)
27,NYA202104010,b4,2-1,0,---,,O,NYY,Aaron Hicks,Hyun Jin Ryu,2%,34%,Strikeout Swinging
28,NYA202104010,b4,2-1,1,---,,O,NYY,Giancarlo Stanton,Hyun Jin Ryu,2%,35%,Groundout: P-1B (P's Right)
29,NYA202104010,b4,2-1,2,---,,O,NYY,Gleyber Torres,Hyun Jin Ryu,1%,36%,Strikeout Looking
30,NYA202104010,t5,1-2,0,---,,O,TOR,Randal Grichuk,Gerrit Cole,-3%,33%,Flyball: CF (Deep LF-CF)
31,NYA202104010,t5,1-2,1,---,,,TOR,Danny Jansen,Gerrit Cole,4%,37%,Single to LF (Line Drive)
32,NYA202104010,t5,1-2,1,1--,,O,TOR,Marcus Semien,Gerrit Cole,-4%,33%,Flyball: LF (Deep LF-CF)
